Typ,Instanzindex,Anzahl Items,Bin-Kapazitaet,LB,Bins beyond LB,Iteration
triplet,0,501,1000,167,23,1
triplet,0,501,1000,167,22,2
triplet,0,501,1000,167,22,3
triplet,0,501,1000,167,22,4
triplet,0,501,1000,167,22,5
triplet,0,501,1000,167,22,6
triplet,0,501,1000,167,22,7
triplet,0,501,1000,167,22,8
triplet,0,501,1000,167,22,9
triplet,0,501,1000,167,20,10
triplet,1,501,1000,167,22,1
triplet,1,501,1000,167,21,2
triplet,1,501,1000,167,20,3
triplet,1,501,1000,167,20,4
triplet,1,501,1000,167,20,5
triplet,1,501,1000,167,20,6
triplet,1,501,1000,167,17,7
triplet,1,501,1000,167,17,8
triplet,1,501,1000,167,16,9
triplet,1,501,1000,167,16,10
triplet,2,501,1000,167,23,1
triplet,2,501,1000,167,23,2
triplet,2,501,1000,167,23,3
triplet,2,501,1000,167,23,4
triplet,2,501,1000,167,22,5
triplet,2,501,1000,167,22,6
triplet,2,501,1000,167,22,7
triplet,2,501,1000,167,20,8
triplet,2,501,1000,167,20,9
triplet,2,501,1000,167,20,10
triplet,3,501,1000,167,23,1
triplet,3,501,1000,167,22,2
triplet,3,501,1000,167,22,3
triplet,3,501,1000,167,21,4
triplet,3,501,1000,167,21,5
triplet,3,501,1000,167,21,6
triplet,3,501,1000,167,21,7
triplet,3,501,1000,167,19,8
triplet,3,501,1000,167,19,9
triplet,3,501,1000,167,18,10
triplet,4,501,1000,167,22,1
triplet,4,501,1000,167,22,2
triplet,4,501,1000,167,21,3
triplet,4,501,1000,167,21,4
triplet,4,501,1000,167,21,5
triplet,4,501,1000,167,21,6
triplet,4,501,1000,167,20,7
triplet,4,501,1000,167,20,8
triplet,4,501,1000,167,20,9
triplet,4,501,1000,167,20,10
triplet,5,501,1000,167,23,1
triplet,5,501,1000,167,22,2
triplet,5,501,1000,167,22,3
triplet,5,501,1000,167,22,4
triplet,5,501,1000,167,22,5
triplet,5,501,1000,167,22,6
triplet,5,501,1000,167,22,7
triplet,5,501,1000,167,22,8
triplet,5,501,1000,167,21,9
triplet,5,501,1000,167,21,10
triplet,6,501,1000,167,23,1
triplet,6,501,1000,167,22,2
triplet,6,501,1000,167,21,3
triplet,6,501,1000,167,21,4
triplet,6,501,1000,167,20,5
triplet,6,501,1000,167,19,6
triplet,6,501,1000,167,19,7
triplet,6,501,1000,167,18,8
triplet,6,501,1000,167,18,9
triplet,6,501,1000,167,17,10
triplet,7,501,1000,167,24,1
triplet,7,501,1000,167,24,2
triplet,7,501,1000,167,23,3
triplet,7,501,1000,167,23,4
triplet,7,501,1000,167,22,5
triplet,7,501,1000,167,22,6
triplet,7,501,1000,167,22,7
triplet,7,501,1000,167,21,8
triplet,7,501,1000,167,21,9
triplet,7,501,1000,167,21,10
triplet,8,501,1000,167,23,1
triplet,8,501,1000,167,22,2
triplet,8,501,1000,167,22,3
triplet,8,501,1000,167,22,4
triplet,8,501,1000,167,19,5
triplet,8,501,1000,167,19,6
triplet,8,501,1000,167,19,7
triplet,8,501,1000,167,19,8
triplet,8,501,1000,167,18,9
triplet,8,501,1000,167,17,10
triplet,9,501,1000,167,23,1
triplet,9,501,1000,167,22,2
triplet,9,501,1000,167,22,3
triplet,9,501,1000,167,22,4
triplet,9,501,1000,167,20,5
triplet,9,501,1000,167,20,6
triplet,9,501,1000,167,19,7
triplet,9,501,1000,167,19,8
triplet,9,501,1000,167,19,9
triplet,9,501,1000,167,19,10
triplet,10,501,1000,167,22,1
triplet,10,501,1000,167,22,2
triplet,10,501,1000,167,22,3
triplet,10,501,1000,167,22,4
triplet,10,501,1000,167,22,5
triplet,10,501,1000,167,21,6
triplet,10,501,1000,167,20,7
triplet,10,501,1000,167,19,8
triplet,10,501,1000,167,18,9
triplet,10,501,1000,167,18,10
triplet,11,501,1000,167,24,1
triplet,11,501,1000,167,24,2
triplet,11,501,1000,167,23,3
triplet,11,501,1000,167,22,4
triplet,11,501,1000,167,22,5
triplet,11,501,1000,167,22,6
triplet,11,501,1000,167,22,7
triplet,11,501,1000,167,21,8
triplet,11,501,1000,167,21,9
triplet,11,501,1000,167,20,10
triplet,12,501,1000,167,23,1
triplet,12,501,1000,167,22,2
triplet,12,501,1000,167,22,3
triplet,12,501,1000,167,21,4
triplet,12,501,1000,167,20,5
triplet,12,501,1000,167,19,6
triplet,12,501,1000,167,19,7
triplet,12,501,1000,167,18,8
triplet,12,501,1000,167,18,9
triplet,12,501,1000,167,17,10
triplet,13,501,1000,167,23,1
triplet,13,501,1000,167,23,2
triplet,13,501,1000,167,23,3
triplet,13,501,1000,167,23,4
triplet,13,501,1000,167,23,5
triplet,13,501,1000,167,23,6
triplet,13,501,1000,167,21,7
triplet,13,501,1000,167,21,8
triplet,13,501,1000,167,21,9
triplet,13,501,1000,167,20,10
triplet,14,501,1000,167,23,1
triplet,14,501,1000,167,23,2
triplet,14,501,1000,167,22,3
triplet,14,501,1000,167,21,4
triplet,14,501,1000,167,21,5
triplet,14,501,1000,167,20,6
triplet,14,501,1000,167,19,7
triplet,14,501,1000,167,19,8
triplet,14,501,1000,167,19,9
triplet,14,501,1000,167,19,10
triplet,15,501,1000,167,23,1
triplet,15,501,1000,167,23,2
triplet,15,501,1000,167,22,3
triplet,15,501,1000,167,22,4
triplet,15,501,1000,167,22,5
triplet,15,501,1000,167,22,6
triplet,15,501,1000,167,22,7
triplet,15,501,1000,167,21,8
triplet,15,501,1000,167,21,9
triplet,15,501,1000,167,21,10
triplet,16,501,1000,167,23,1
triplet,16,501,1000,167,23,2
triplet,16,501,1000,167,23,3
triplet,16,501,1000,167,23,4
triplet,16,501,1000,167,23,5
triplet,16,501,1000,167,22,6
triplet,16,501,1000,167,22,7
triplet,16,501,1000,167,21,8
triplet,16,501,1000,167,21,9
triplet,16,501,1000,167,20,10
triplet,17,501,1000,167,22,1
triplet,17,501,1000,167,22,2
triplet,17,501,1000,167,22,3
triplet,17,501,1000,167,21,4
triplet,17,501,1000,167,21,5
triplet,17,501,1000,167,21,6
triplet,17,501,1000,167,21,7
triplet,17,501,1000,167,20,8
triplet,17,501,1000,167,20,9
triplet,17,501,1000,167,20,10
triplet,18,501,1000,167,24,1
triplet,18,501,1000,167,24,2
triplet,18,501,1000,167,23,3
triplet,18,501,1000,167,23,4
triplet,18,501,1000,167,23,5
triplet,18,501,1000,167,22,6
triplet,18,501,1000,167,22,7
triplet,18,501,1000,167,22,8
triplet,18,501,1000,167,22,9
triplet,18,501,1000,167,22,10
triplet,19,501,1000,167,24,1
triplet,19,501,1000,167,23,2
triplet,19,501,1000,167,23,3
triplet,19,501,1000,167,23,4
triplet,19,501,1000,167,23,5
triplet,19,501,1000,167,22,6
triplet,19,501,1000,167,22,7
triplet,19,501,1000,167,22,8
triplet,19,501,1000,167,22,9
triplet,19,501,1000,167,22,10
